TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
CLASSES - FIF;42.174.097/0001-07;;SMIRK FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO-RESPONSABILIDADE LIMITADA;2025-07-31;Acões;0.00
CLASSES - FIF;42.174.097/0001-07;;SMIRK FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO-RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de Fundos de Investimento 555;99.96
CLASSES - FIF;42.174.097/0001-07;;SMIRK FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO-RESPONSABILIDADE LIMITADA;2025-07-31;Depósito a prazo e outros títulos de instituições financeiras;0.04
CLASSES - FIF;42.174.097/0001-07;;SMIRK FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO-RESPONSABILIDADE LIMITADA;2025-07-31;Operacões compromissadas lastreadas em títulos privados;0.00
CLASSES - FIF;42.174.097/0001-07;;SMIRK FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO-RESPONSABILIDADE LIMITADA;2025-07-31;Operacões compromissadas lastreadas em títulos públicos federais;0.00
FI;42.315.695/0001-40;;INTER ACESS ABSOLUTE VERTEX FC DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-07-31;Cotas de Fundos de Investimento 555;96.54
FI;42.315.695/0001-40;;INTER ACESS ABSOLUTE VERTEX FC DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-07-31;Operações Compromissadas Lastreadas em Títulos Públicos Federais;3.53
CLASSES - FIF;42.449.117/0001-05;;ARX INCOME ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS AÇÕES - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.51
CLASSES - FIF;42.449.117/0001-05;;ARX INCOME ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.13
CLASSES - FIF;42.449.117/0001-05;;ARX INCOME ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS AÇÕES - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.35
CLASSES - FIF;42.449.133/0001-90;;SPX FALCON ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.62
CLASSES - FIF;42.449.133/0001-90;;SPX FALCON ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.09
CLASSES - FIF;42.449.133/0001-90;;SPX FALCON ÁGORA FIF - CLASSE DE INVESTIMENTO EM COTAS DE AÇÕES - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.26
CLASSES - FIF;42.449.146/0001-69;;CONEXÃO ASA HEDGE FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.63
CLASSES - FIF;42.449.146/0001-69;;CONEXÃO ASA HEDGE FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.09
CLASSES - FIF;42.449.146/0001-69;;CONEXÃO ASA HEDGE FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA;2025-07-31;Títulos públicos federais;0.25
CLASSES - FIF;42.468.330/0001-56;;BRADESCO BJ 157 FI FINANCEIRO - CIC EM AÇÕES - RESP LIMITADA;2025-07-31;Ações;67.92
CLASSES - FIF;42.468.330/0001-56;;BRADESCO BJ 157 FI FINANCEIRO - CIC EM AÇÕES - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;30.81
CLASSES - FIF;42.468.330/0001-56;;BRADESCO BJ 157 FI FINANCEIRO - CIC EM AÇÕES - RESP LIMITADA;2025-07-31;Derivativos;0.88
CLASSES - FIF;42.468.330/0001-56;;BRADESCO BJ 157 FI FINANCEIRO - CIC EM AÇÕES - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;2.31
CLASSES - FIF;42.469.023/0001-90;;BRADESCO H FIF - CLASSE DE INVESTIMENTO AÇÕES IBOVESPA - RESP LIMITADA;2025-07-31;Ações;98.78
CLASSES - FIF;42.469.023/0001-90;;BRADESCO H FIF - CLASSE DE INVESTIMENTO AÇÕES IBOVESPA - RESP LIMITADA;2025-07-31;Derivativos;1.20
CLASSES - FIF;42.469.023/0001-90;;BRADESCO H FIF - CLASSE DE INVESTIMENTO AÇÕES IBOVESPA - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.31
CLASSES - FIF;42.494.301/0001-69;;CONEXÃO CLAVE ALPHA MACRO FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;99.52
CLASSES - FIF;42.494.301/0001-69;;CONEXÃO CLAVE ALPHA MACRO FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.14
CLASSES - FIF;42.494.301/0001-69;;CONEXÃO CLAVE ALPHA MACRO FIF - CIC MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;0.38
CLASSES - FIF;42.494.899/0001-96;;MAG SELECTION FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES  RESP LIMITADA;2025-07-31;Ações;97.08
CLASSES - FIF;42.494.899/0001-96;;MAG SELECTION FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES  RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;1.37
CLASSES - FIF;42.494.899/0001-96;;MAG SELECTION FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES  RESP LIMITADA;2025-07-31;Derivativos;-7.73
CLASSES - FIF;42.494.899/0001-96;;MAG SELECTION FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES  RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;1.84
CLASSES - FIF;42.562.449/0001-93;;PTR III FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-07-31;Acões;0.00
